mds_file,polyphony,dynamics,num_notes,num_unique_pitches,num_unique_velocities
RANDOM_P01_D0,1,0,84,54,9
RANDOM_P01_D1,1,1,85,60,46
RANDOM_P01_D2,1,2,79,52,57
RANDOM_P02_D0,2,0,164,77,9
RANDOM_P02_D1,2,1,169,76,58
RANDOM_P02_D2,2,2,160,73,91
RANDOM_P03_D0,3,0,252,81,9
RANDOM_P03_D1,3,1,258,79,61
RANDOM_P03_D2,3,2,239,83,105
RANDOM_P04_D0,4,0,338,84,9
RANDOM_P04_D1,4,1,343,85,64
RANDOM_P04_D2,4,2,323,86,118
RANDOM_P05_D0,5,0,421,87,9
RANDOM_P05_D1,5,1,426,88,65
RANDOM_P05_D2,5,2,406,88,121
RANDOM_P06_D0,6,0,509,88,9
RANDOM_P06_D1,6,1,506,88,65
RANDOM_P06_D2,6,2,491,88,123
RANDOM_P07_D0,7,0,599,88,9
RANDOM_P07_D1,7,1,604,88,65
RANDOM_P07_D2,7,2,579,88,126
RANDOM_P08_D0,8,0,688,88,9
RANDOM_P08_D1,8,1,700,88,65
RANDOM_P08_D2,8,2,667,88,127
RANDOM_P09_D0,9,0,774,88,9
RANDOM_P09_D1,9,1,785,88,65
RANDOM_P09_D2,9,2,756,88,127
RANDOM_P10_D0,10,0,862,88,9
RANDOM_P10_D1,10,1,880,88,65
RANDOM_P10_D2,10,2,837,88,127
RANDOM_P11_D0,11,0,956,88,9
RANDOM_P11_D1,11,1,968,88,65
RANDOM_P11_D2,11,2,927,88,127
RANDOM_P12_D0,12,0,1047,88,9
RANDOM_P12_D1,12,1,1056,88,65
RANDOM_P12_D2,12,2,1015,88,127
RANDOM_P13_D0,13,0,1139,88,9
RANDOM_P13_D1,13,1,1143,88,65
RANDOM_P13_D2,13,2,1102,88,127
RANDOM_P14_D0,14,0,1225,88,9
RANDOM_P14_D1,14,1,1245,88,65
RANDOM_P14_D2,14,2,1198,88,127
RANDOM_P15_D0,15,0,1325,88,9
RANDOM_P15_D1,15,1,1336,88,65
RANDOM_P15_D2,15,2,1283,88,127
RANDOM_P16_D0,16,0,1410,88,9
RANDOM_P16_D1,16,1,1429,88,65
RANDOM_P16_D2,16,2,1379,88,127
RANDOM_P17_D0,17,0,1499,88,9
RANDOM_P17_D1,17,1,1525,88,65
RANDOM_P17_D2,17,2,1463,88,127
RANDOM_P18_D0,18,0,1599,88,9
RANDOM_P18_D1,18,1,1610,88,65
RANDOM_P18_D2,18,2,1564,88,127
RANDOM_P19_D0,19,0,1692,88,9
RANDOM_P19_D1,19,1,1703,88,65
RANDOM_P19_D2,19,2,1659,88,127
RANDOM_P20_D0,20,0,1782,88,9
RANDOM_P20_D1,20,1,1803,88,65
RANDOM_P20_D2,20,2,1763,88,127
RANDOM_P21_D0,21,0,1880,88,9
RANDOM_P21_D1,21,1,1897,88,65
RANDOM_P21_D2,21,2,1855,88,127
RANDOM_P22_D0,22,0,1976,88,9
RANDOM_P22_D1,22,1,1989,88,65
RANDOM_P22_D2,22,2,1960,88,127
RANDOM_P23_D0,23,0,2072,88,9
RANDOM_P23_D1,23,1,2077,88,65
RANDOM_P23_D2,23,2,2056,88,127
RANDOM_P24_D0,24,0,2160,88,9
RANDOM_P24_D1,24,1,2158,88,65
RANDOM_P24_D2,24,2,2145,88,127
