piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.525027906188453,0.5787124120693653,0.5505645865571711,0.9081081081081082,0.9242488362251375,0.9161073825503356,0.3991683991683992,0.40626322471434617,0.40268456375838924,0.7101871101871102,0.7228099873042743,0.7164429530201343,0.316008316008316,0.3216250528988574,0.31879194630872487
ChenGuang03M,0.375034364935983,0.7646105033479798,0.5032360913944671,0.9229401304090101,0.9540441176470589,0.9382344079542031,0.7356253704801423,0.7604166666666666,0.7478156071105755,0.8138707765263782,0.8412990196078431,0.8273576378427238,0.6508595139300534,0.6727941176470589,0.661645073817415
ChenGuang06M,0.6085169296938878,0.6842270975542177,0.6441550126568771,0.9209641255605381,0.9585764294049008,0.9393939393939393,0.6656390134529148,0.6928238039673279,0.6789594053744997,0.8349215246636771,0.8690198366394399,0.8516295025728987,0.6053811659192825,0.6301050175029171,0.6174957118353346
Chon08M,0.5350915939986203,0.4914643096461278,0.5123509005369957,0.852827763496144,0.8479233226837061,0.850368471643704,0.4879498714652956,0.48514376996805114,0.48654277475168217,0.7715295629820051,0.7670926517571885,0.7693047100288369,0.44183804627249357,0.43929712460063897,0.44056392181992954
Huang10M,0.29795272258805483,0.4589021168639225,0.3613140274561276,0.8988970588235294,0.91359177954227,0.906184850590688,0.3327205882352941,0.3381597384399813,0.335418114431318,0.8324908088235294,0.8460999532928538,0.8392402131109568,0.3147977941176471,0.31994395142456794,0.3173500115821172
Huang18M,0.3822985909233988,0.4825506932044462,0.4266141013164066,0.8444944663290189,0.8810176125244619,0.8623695048367014,0.4235603076345901,0.44187866927592956,0.4325256201513265,0.7118739448508723,0.7426614481409002,0.726941863806149,0.3517163759144626,0.3669275929549902,0.3591609999042238
KOLESO06M_18-1,0.4669429744554953,0.8192108923543181,0.5948351603235209,0.9191350710900474,0.9349201566736969,0.9269604182225541,0.8202014218009479,0.8342874359746911,0.8271844660194174,0.8187203791469194,0.8327809581199156,0.8256908140403286,0.7325236966824644,0.7451039469719795,0.7387602688573561
KOLESO06M_18-4,0.7128566615699587,0.756019129287599,0.7338037374451455,0.9328274311410905,0.9617502173283107,0.9470680553573976,0.7785272625070264,0.8026658939437844,0.7904123270081325,0.8496346261944913,0.8759779773978557,0.8626052218576116,0.7164137155705452,0.7386264850767893,0.7273505492937651
KabuliL10M,0.3714666196659029,0.6239580523556076,0.4656898608935612,0.910459587955626,0.9527363184079602,0.9311183144246354,0.44532488114104596,0.4660033167495854,0.4554294975688817,0.7713946117274167,0.8072139303482587,0.7888978930307942,0.3827258320126783,0.40049751243781095,0.3914100486223663
KaszoS16M,0.5634417399604554,0.5749536178107607,0.5691394726874117,0.9428387925497752,0.8681253696037847,0.9039408866995073,0.46563904945407836,0.42874039030159666,0.4464285714285714,0.8850353243416827,0.814902424600828,0.8485221674876848,0.43481053307642903,0.40035481963335307,0.416871921182266
