piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.9682355791003592,0.5922144347960525,0.7349201590822793,0.9896675651392632,0.932289462547609,0.9601220309435606,0.48517520215633425,0.45704612780363946,0.4706907823055132,0.6635220125786163,0.6250528988573847,0.6437132272826324,0.34007187780772685,0.32035548032162503,0.32991937241229025
ChenGuang03M,0.9463563218390805,0.8240634164406322,0.8809861377875031,0.9880952380952381,0.9662990196078431,0.9770755885997522,0.8743734335839599,0.8550857843137255,0.8646220570012392,0.8903508771929824,0.8707107843137255,0.8804213135068154,0.7907268170426065,0.7732843137254902,0.781908302354399
ChenGuang06M,0.9474356749593779,0.7563663383793859,0.8411874697985167,0.9861028976936724,0.9728704784130688,0.9794419970631425,0.7903607332939089,0.7797549591598599,0.7850220264317179,0.9083382613837966,0.8961493582263711,0.9022026431718062,0.729745712596097,0.7199533255542591,0.7248164464023495
Chon08M,0.9385008030276528,0.5380744211913043,0.6839926176382817,0.9649874955341193,0.8629392971246006,0.9111148591668071,0.5809217577706324,0.5194888178913738,0.5484904705683926,0.8944265809217578,0.7998402555910543,0.8444931691684938,0.5451947123972848,0.48753993610223645,0.5147579693034239
Huang10M,0.9394945271959495,0.5204180195277497,0.6698070816607752,0.9610580455547392,0.916394208313872,0.9381948595337717,0.39015429831006615,0.37202241943017283,0.38087268380155415,0.8760715160421259,0.8353573096683793,0.8552301255230126,0.36688709282390397,0.34983652498832324,0.3581589958158996
Huang18M,0.9828954128607217,0.5052469453195846,0.6674158586867426,0.9845201238390093,0.8712328767123287,0.9244186046511629,0.5221141088014153,0.4620352250489237,0.4902408637873754,0.8562582927908006,0.7577299412915851,0.8039867109634552,0.44515701017249004,0.3939334637964775,0.4179817275747508
KOLESO06M_18-1,0.9275567308283623,0.8528310848251139,0.8886257320277611,0.9814585908529048,0.9569147333534197,0.9690312738367659,0.9301606922126081,0.9068996685748719,0.9183829138062547,0.8797898640296663,0.8577884905091895,0.8686498855835241,0.8362175525339925,0.8153058150045195,0.825629290617849
KOLESO06M_18-4,0.9427982650025759,0.7796146657871592,0.8534763541721516,0.9908284023668639,0.9704433497536946,0.9805299370516762,0.8683431952662722,0.8504781222833961,0.8593178158395549,0.919526627218935,0.9006085192697769,0.9099692577953448,0.8118343195266272,0.795131845841785,0.8033962816571512
KabuliL10M,0.9790113395112037,0.6401423693576932,0.77411629923703,0.990504963314631,0.9514925373134329,0.970606893635018,0.5269745360379802,0.5062189054726368,0.516388242757454,0.7108329736728528,0.6828358208955224,0.696553182491013,0.3992231333621062,0.38349917081260365,0.39120321421019244
KaszoS16M,0.8239385596290393,0.5274582560296845,0.6431762909337706,0.987862440997977,0.8663512714370195,0.9231253938248267,0.4787592717464599,0.41986989946777054,0.44738500315059854,0.8846931894807822,0.7758722649319929,0.8267170762444865,0.428186109238031,0.37551744529863984,0.4001260239445495
LeungM06M,0.9509979563726064,0.7057746657669154,0.810238237685428,0.9819560669456067,0.903078403078403,0.9408669506389377,0.6801778242677824,0.6255411255411255,0.6517163618140817,0.9082112970711297,0.8352573352573353,0.8702079679278376,0.6380753138075314,0.5868205868205868,0.6113755950889501
LeungR02M,0.9260231702035513,0.8550612346913272,0.8891285703147336,0.9813664596273292,0.9693251533742331,0.9753086419753085,0.9183229813664596,0.9070552147239264,0.9126543209876544,0.8903726708074534,0.8794478527607362,0.8848765432098766,0.8338509316770186,0.8236196319018405,0.8287037037037037
Levitsky05M,0.9221493493079942,0.8555651382300801,0.8876102895489002,0.9889310562934851,0.9663164400494437,0.9774929665520474,0.9259962049335864,0.9048207663782447,0.9152860268834011,0.875079063883618,0.8550679851668727,0.8649577993122851,0.8251106894370651,0.8062422744128553,0.8155673648015004
