piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.8938297075420144,0.9377335154216805,0.9152554095134503,0.9834324553950722,0.9796868387642826,0.9815560737757049,0.8500424808836023,0.8468049090139653,0.8484206063175749,0.9634664401019541,0.9597968683876428,0.9616281534873861,0.8330501274426508,0.8298772746508676,0.8314606741573034
ChenGuang03M,0.8893828798938288,0.9390457507181391,0.9135398561837575,0.9892141756548536,0.9834558823529411,0.9863266246735289,0.8801232665639446,0.875,0.8775541557842987,0.9704160246533128,0.9647671568627451,0.9675833461361192,0.8650231124807396,0.8599877450980392,0.8624980795821171
ChenGuang06M,0.8718231525590782,0.9357698798518929,0.9026654032120903,0.9894210990302674,0.9822053675612602,0.9858000292782901,0.8683514545988833,0.8620186697782963,0.865173473869126,0.9791360564208051,0.9719953325554259,0.9755526277265408,0.8604172788715839,0.8541423570595099,0.857268335529205
Chon08M,0.8047018394986861,0.9073267904436736,0.852938466713661,0.963371801304566,0.9201277955271565,0.9412533703733965,0.788091654122763,0.7527156549520767,0.769997548819348,0.9315939120254223,0.889776357827476,0.9102050821145519,0.7628365947482857,0.7285942492012779,0.7453223302557398
Huang10M,0.8248190900668553,0.9583726099454201,0.8865945529857917,0.9642356241234221,0.9633348902382064,0.9637850467289718,0.7080411407199626,0.7073797290985521,0.7077102803738319,0.9289387564282375,0.9280709948622139,0.9285046728971963,0.6799906498363721,0.6793554413825316,0.6796728971962618
Huang18M,0.9031851544460031,0.8291412304729496,0.8645807820300515,0.9644588045234249,0.9346379647749511,0.9493142516398331,0.803513731825525,0.7786692759295499,0.7908964420592328,0.922859450726979,0.8943248532289628,0.9083681176704431,0.7697899838449112,0.7459882583170254,0.7577022460743391
KOLESO06M_18-1,0.8993287868683174,0.9454703773648916,0.9218225419664269,0.9829631883176149,0.9734859897559506,0.9782016348773842,0.8980833586857316,0.8894245254594757,0.8937329700272478,0.9723151810161241,0.9629406447725218,0.9676052073872237,0.8907818679647095,0.8821934317565532,0.8864668483197093
KOLESO06M_18-4,0.850132039472853,0.9246097185576078,0.8858081376595507,0.9944166911548633,0.9805853375833092,0.9874525824336153,0.8639435791948281,0.8519269776876268,0.8578932010504814,0.9838377901851307,0.9701535786728485,0.9769477677268749,0.8560094034675286,0.8441031585047812,0.850014590020426
KabuliL10M,0.8910482097690557,0.9224402792123633,0.9064725410776686,0.9882943143812709,0.9800995024875622,0.984179850124896,0.8210702341137124,0.814262023217247,0.8176519567027477,0.9607023411371237,0.9527363184079602,0.9567027477102414,0.7993311036789298,0.7927031509121062,0.7960033305578685
KaszoS16M,0.6784210077585472,0.9226808905380334,0.7819191274013658,0.9676434676434676,0.9373151981076286,0.9522379092820668,0.6746031746031746,0.6534594914251922,0.6638630219285071,0.9163614163614163,0.8876404494382022,0.9017723039951936,0.6361416361416361,0.6162034299231224,0.6260138179633523
