model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,1,0,random,disklavier,RANDOM_P01_D0,0.7388507874123491,,,0.7185508043526774,0.4914082059481942,0.6420904537379348,0.4049499319594224,0.6419204794581038,-0.1574154494579641
OaF,1,1,random,disklavier,RANDOM_P01_D1,0.7058701413563748,,,0.7311921197705152,0.6228581429297746,0.7427961995996545,0.4953737789287029,-0.6388382020812765,0.1909770054328629
OaF,1,2,random,disklavier,RANDOM_P01_D2,0.0348636142165834,,,0.6512887164798937,0.3902916496555367,0.700935449674072,0.4208440649629359,0.3298873587872546,0.1049406536662976
OaF,2,0,random,disklavier,RANDOM_P02_D0,0.2189418547085863,-0.2172312056142317,0.2443690521612278,0.3867063107632092,0.6700290948772274,0.3363635024575276,0.2107899740220227,0.3183880038759947,0.2718439872410419
OaF,2,1,random,disklavier,RANDOM_P02_D1,0.3918782657821567,0.7026032923093994,0.5546396249501949,0.4275063231974377,0.4026531039346119,0.7076915709050213,0.3402557976028398,0.7134024639579035,0.5751078128895484
OaF,2,2,random,disklavier,RANDOM_P02_D2,0.2538788539988227,0.669450277178528,0.4498707414522827,0.3013178227525071,0.3920660032347809,0.0800755197039028,0.2119213479594409,0.3861953587934167,0.0230074816838217
OaF,3,0,random,disklavier,RANDOM_P03_D0,0.3592424019820632,0.3450977591384476,-0.1012944871666304,0.4314846874870556,0.5070701504182833,-0.1414557776048402,0.3319888910022188,-0.4765477443124011,0.3193454179660688
OaF,3,1,random,disklavier,RANDOM_P03_D1,0.2150855564953339,0.4020870729435387,0.29438328303386,0.1912733011443288,0.4815186885459181,-0.1888474734581242,0.1842617164205359,-0.0758798553286404,0.4047029918597982
OaF,3,2,random,disklavier,RANDOM_P03_D2,0.1188837605415544,0.6481329894757746,0.2406152358145728,0.0646751067663247,0.4671124139214275,0.1033283028981715,0.2848160382500574,0.5234153252678334,0.3045932616744514
OaF,4,0,random,disklavier,RANDOM_P04_D0,0.5025413972582027,0.2403734910609588,0.2082577164250629,0.3007937688306807,0.413341519526588,0.0787617284543935,0.1205700723765396,-0.1671711298798207,0.4871944919385479
OaF,4,1,random,disklavier,RANDOM_P04_D1,0.3236505617096714,0.4063253194603846,0.3615031783886161,0.071126098885961,0.4795232127702465,-0.0525314145061729,0.071362672461653,-0.3092096740642445,0.5774936128386051
OaF,4,2,random,disklavier,RANDOM_P04_D2,0.1609646122081769,0.2032825884287716,0.1963283962733713,-0.0519510494986564,0.3445153870730046,0.1524319944429845,0.2241730181000349,0.5987857656585241,0.2008351390622324
OaF,5,0,random,disklavier,RANDOM_P05_D0,0.5351842201985673,0.0298632193501673,0.3660735634428896,0.1550403420533246,0.4888548343444874,-0.1615150867370041,0.2894807387255412,-0.6693916952955072,0.358418058951392
OaF,5,1,random,disklavier,RANDOM_P05_D1,0.1150326890945897,0.330725530616589,0.2312769596742952,0.0916576444821836,0.4559201748492606,-0.2274140619105418,0.2234124440378639,-0.6631227274553695,0.4557491014103264
OaF,5,2,random,disklavier,RANDOM_P05_D2,0.4912399750089586,0.418672931015885,0.4481474920681033,-0.0009196157135154,0.4132906051569437,0.1420141783095884,0.1423668612191435,0.6591750473842966,-0.0198338158421198
OaF,6,0,random,disklavier,RANDOM_P06_D0,0.1531745994290512,-0.0355432984800529,0.2571262136211756,0.1564484080032474,0.47318830812261,-0.1612114148507001,0.243835351911997,-0.629230904287494,0.8581407749571851
OaF,6,1,random,disklavier,RANDOM_P06_D1,0.1285985033297033,0.1803541940049553,0.2507063130672253,0.1789047156381491,0.3977688034733612,-0.1057872267477097,0.0777356372835279,-0.408232648566195,0.4014730099899156
OaF,6,2,random,disklavier,RANDOM_P06_D2,0.3410967152323028,0.3540390132585748,0.2481333350725332,0.0705157949543759,0.3277049963224143,-0.0101089108354431,0.1271899025695148,0.3683680455170873,-0.0269402153225109
OaF,7,0,random,disklavier,RANDOM_P07_D0,0.2119067217272159,0.2488182971332055,0.2208562610771211,-0.029770049049101,0.5258326579373916,-0.2059138950841554,0.0448437448454856,-0.6049796526234245,0.7371764045365932
OaF,7,1,random,disklavier,RANDOM_P07_D1,0.2726624036919107,0.2391120697452637,0.2738779991609693,0.1828082233703484,0.3558434197659743,-0.1148712361429467,0.0472505060173968,0.2258360481672681,0.4424650199692989
OaF,7,2,random,disklavier,RANDOM_P07_D2,0.2467899798123994,0.2255065310748641,0.2058367364559178,0.0688381524146248,0.3493685882506654,0.0374230549141054,0.0577254218726821,0.5123734255290093,0.1456073275249108
OaF,8,0,random,disklavier,RANDOM_P08_D0,0.1711121060061958,-0.0904622315515733,0.280852195498838,0.0733323871589784,0.4801453345933819,0.5763945530609556,0.4155888188828049,0.7674764979077778,0.4948862419799389
OaF,8,1,random,disklavier,RANDOM_P08_D1,0.2564434527193238,0.1764624936817373,0.2543395929318653,0.1070890747950711,0.3632199084549143,0.0651182015519737,0.0466544821742138,-0.2655607732484385,0.2236449283025634
OaF,8,2,random,disklavier,RANDOM_P08_D2,0.2443101232727657,0.4397929564162202,0.2177348822599043,0.164074443259178,0.3090776409228224,0.2629629234185699,0.165484436864625,0.6216468242720425,-0.0146978142268611
OaF,9,0,random,disklavier,RANDOM_P09_D0,0.217536744084293,0.1477157432197435,0.2849148955255058,0.0692807337917549,0.4544121875145172,0.0743580521904627,0.3013309519731812,-0.5427498030964079,0.4029427316720691
OaF,9,1,random,disklavier,RANDOM_P09_D1,0.2911402227473925,0.0397768928023997,0.151016135118751,0.038217143381534,0.3129789541955234,-0.012232762634197,0.2071226383672908,-0.3933995637247033,0.2184225437206945
OaF,9,2,random,disklavier,RANDOM_P09_D2,0.2085016841397609,0.19052019192899,0.1709068595209025,0.1627747552212016,0.2751269067749078,0.2758337070758702,0.0611856227660962,0.7011603285314474,0.0940738472360031
OaF,10,0,random,disklavier,RANDOM_P10_D0,0.0660182538070829,0.1271814506918006,0.1588215146788872,0.1094840662307678,0.4686325827367231,-0.0415005116461261,0.1374583370051503,-0.5569343403540216,0.6396129963207231
OaF,10,1,random,disklavier,RANDOM_P10_D1,0.1662017209968892,0.0142834324163539,0.1808821384786059,0.1805270560777208,0.3408120879716259,0.0616710781599275,0.1692633066482977,-0.5193996600900967,0.3049805858075955
OaF,10,2,random,disklavier,RANDOM_P10_D2,0.2207022155738016,0.0916755064226245,0.1459729606920375,-0.0068359152792712,0.2645468543060136,0.1581123295934787,0.269101965798916,0.7294444632071135,0.0288473942349173
OaF,11,0,random,disklavier,RANDOM_P11_D0,0.2191117483759457,0.0797325112213982,0.2307423467714006,-0.0028974936567799,0.3670075093165012,-0.1736577161191061,0.0529180544310408,-0.5209265963426719,0.5996919080162866
OaF,11,1,random,disklavier,RANDOM_P11_D1,0.2814685606835602,0.088653708412258,0.1925142659325837,0.1588452722692248,0.3003237657202414,0.2116826366317422,0.1216240753394695,-0.5300301120775912,0.2434184789205863
