piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
RANDOM_P01_D0,0.1188618982783412,0.7868092991913747,0.20652450281342932,0.7941176470588235,0.9642857142857143,0.8709677419354839,0.49019607843137253,0.5952380952380952,0.5376344086021505,0.17647058823529413,0.21428571428571427,0.1935483870967742,0.1568627450980392,0.19047619047619047,0.17204301075268816
RANDOM_P01_D1,0.18972154064336041,0.7086521483225426,0.29931103061296965,0.8297872340425532,0.9176470588235294,0.871508379888268,0.48936170212765956,0.5411764705882353,0.5139664804469274,0.4148936170212766,0.4588235294117647,0.435754189944134,0.26595744680851063,0.29411764705882354,0.27932960893854747
RANDOM_P01_D2,0.1269690734906449,0.664283912202506,0.2131897494028582,0.7222222222222222,0.8227848101265823,0.7692307692307693,0.4111111111111111,0.46835443037974683,0.4378698224852071,0.5111111111111111,0.5822784810126582,0.5443786982248521,0.28888888888888886,0.3291139240506329,0.30769230769230765
RANDOM_P02_D0,0.22056704980842912,0.6061576043465442,0.32344116953018776,0.7008928571428571,0.9573170731707317,0.8092783505154639,0.32142857142857145,0.43902439024390244,0.3711340206185567,0.13839285714285715,0.18902439024390244,0.1597938144329897,0.05803571428571429,0.07926829268292683,0.06701030927835051
RANDOM_P02_D1,0.11852025817737141,0.6156661478271844,0.19877488930540843,0.7869822485207101,0.7869822485207101,0.7869822485207101,0.3431952662721893,0.3431952662721893,0.3431952662721893,0.5029585798816568,0.5029585798816568,0.5029585798816568,0.2485207100591716,0.2485207100591716,0.2485207100591716
RANDOM_P02_D2,0.20368120027868242,0.5291938539254893,0.2941479280248965,0.7664670658682635,0.8,0.7828746177370032,0.32934131736526945,0.34375,0.3363914373088685,0.5868263473053892,0.6125,0.599388379204893,0.2754491017964072,0.2875,0.28134556574923547
RANDOM_P03_D0,0.1737441876849373,0.5540297669194046,0.2645311808637589,0.76,0.9047619047619048,0.8260869565217391,0.30666666666666664,0.36507936507936506,0.33333333333333326,0.13333333333333333,0.15873015873015872,0.14492753623188406,0.07333333333333333,0.0873015873015873,0.07971014492753624
RANDOM_P03_D1,0.20824960095541037,0.5088669397833773,0.29554843914244505,0.6740506329113924,0.8255813953488372,0.7421602787456445,0.21835443037974683,0.26744186046511625,0.24041811846689895,0.4272151898734177,0.5232558139534884,0.47038327526132406,0.13924050632911392,0.17054263565891473,0.15331010452961671
RANDOM_P03_D2,0.24210930893996463,0.4418382806800965,0.31281098850894357,0.7894736842105263,0.6903765690376569,0.7366071428571429,0.3062200956937799,0.26778242677824265,0.2857142857142857,0.6028708133971292,0.5271966527196653,0.5625,0.24401913875598086,0.21338912133891214,0.22767857142857142
RANDOM_P04_D0,0.16013084521371815,0.5232834627443553,0.2452211556002584,0.6688888888888889,0.8905325443786982,0.7639593908629442,0.17333333333333334,0.23076923076923078,0.1979695431472081,0.14,0.1863905325443787,0.1598984771573604,0.04888888888888889,0.0650887573964497,0.05583756345177665
RANDOM_P04_D1,0.17551266586248493,0.5265084574602373,0.26326530612244897,0.5991735537190083,0.8454810495626822,0.7013301088270859,0.19421487603305784,0.27405247813411077,0.22732769044740025,0.33884297520661155,0.478134110787172,0.39661426844014513,0.12190082644628099,0.17201166180758018,0.14268440145102781
RANDOM_P04_D2,0.1903014367190973,0.4233650366130797,0.2625757743832014,0.6608695652173913,0.7058823529411765,0.6826347305389222,0.22028985507246376,0.23529411764705882,0.22754491017964074,0.4753623188405797,0.5077399380804953,0.4910179640718563,0.17681159420289855,0.18885448916408668,0.18263473053892212
RANDOM_P05_D0,0.24215792102337722,0.5061882230117702,0.3275956954093448,0.5856697819314641,0.8931116389548693,0.7074317968015053,0.13551401869158877,0.20665083135391923,0.1636876763875823,0.11526479750778816,0.17577197149643706,0.13922859830667922,0.029595015576323987,0.04513064133016627,0.03574788334901223
RANDOM_P05_D1,0.19504818426289847,0.4603987068965517,0.2740113135888327,0.5254491017964071,0.823943661971831,0.6416819012797075,0.11976047904191617,0.18779342723004694,0.14625228519195613,0.312874251497006,0.49061032863849763,0.3820840950639854,0.07035928143712575,0.11032863849765258,0.08592321755027421
RANDOM_P05_D2,0.27220818122250307,0.440695089917155,0.3365416144276208,0.5958333333333333,0.7044334975369458,0.6455981941309256,0.18333333333333332,0.21674876847290642,0.19864559819413094,0.43333333333333335,0.5123152709359606,0.46952595936794583,0.14791666666666667,0.1748768472906404,0.16027088036117382
RANDOM_P06_D0,0.2799416894708575,0.4606514603147883,0.34824936767255776,0.5914948453608248,0.9017681728880157,0.7143968871595331,0.10309278350515463,0.15717092337917485,0.1245136186770428,0.1134020618556701,0.17288801571709234,0.1369649805447471,0.024484536082474227,0.03732809430255403,0.029571984435797668
RANDOM_P06_D1,0.26722720116797566,0.4261430575035063,0.3284739001410803,0.5250320924261874,0.808300395256917,0.6365758754863813,0.10654685494223363,0.16403162055335968,0.12918287937743192,0.28754813863928114,0.4426877470355731,0.3486381322957198,0.06290115532734275,0.09683794466403162,0.07626459143968872
