piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
RANDOM_P01_D0,0.7612367392518147,0.918716307277628,0.8325954198473282,0.8144329896907216,0.9404761904761905,0.8729281767955801,0.6288659793814433,0.7261904761904762,0.6740331491712707,0.15463917525773196,0.17857142857142858,0.16574585635359115,0.15463917525773196,0.17857142857142858,0.16574585635359115
RANDOM_P01_D1,0.7959703393004269,0.8935508282182797,0.8419426398352085,0.8571428571428571,0.9176470588235294,0.8863636363636362,0.6593406593406593,0.7058823529411765,0.6818181818181818,0.5274725274725275,0.5647058823529412,0.5454545454545454,0.43956043956043955,0.47058823529411764,0.45454545454545453
RANDOM_P01_D2,0.7665748095315286,0.7953914725422588,0.7807173222171777,0.8072289156626506,0.8481012658227848,0.8271604938271606,0.6024096385542169,0.6329113924050633,0.6172839506172839,0.5783132530120482,0.6075949367088608,0.5925925925925926,0.4578313253012048,0.4810126582278481,0.4691358024691358
RANDOM_P02_D0,0.7397682076722405,0.7285515730952281,0.7341170479141026,0.7772020725388601,0.9146341463414634,0.8403361344537815,0.48186528497409326,0.5670731707317073,0.5210084033613445,0.14507772020725387,0.17073170731707318,0.1568627450980392,0.09844559585492228,0.11585365853658537,0.10644257703081232
RANDOM_P02_D1,0.7470908823096185,0.6401076942492954,0.6894739226969958,0.8263473053892215,0.8165680473372781,0.8214285714285715,0.4311377245508982,0.4260355029585799,0.42857142857142855,0.5089820359281437,0.5029585798816568,0.5059523809523809,0.281437125748503,0.2781065088757396,0.27976190476190477
RANDOM_P02_D2,0.814737057709048,0.669795832456325,0.7351908326402365,0.8701298701298701,0.8375,0.8535031847133757,0.5194805194805194,0.5,0.5095541401273885,0.6103896103896104,0.5875,0.5987261146496815,0.3961038961038961,0.38125,0.3885350318471337
RANDOM_P03_D0,0.7127422849446624,0.6836001123279978,0.6978670947766756,0.8115942028985508,0.8888888888888888,0.8484848484848485,0.4420289855072464,0.48412698412698413,0.46212121212121215,0.15942028985507245,0.1746031746031746,0.16666666666666666,0.09420289855072464,0.10317460317460317,0.0984848484848485
RANDOM_P03_D1,0.7353683727335323,0.6293282451316011,0.6782285256361795,0.7934782608695652,0.8488372093023255,0.8202247191011235,0.38405797101449274,0.4108527131782946,0.3970037453183521,0.5,0.5348837209302325,0.5168539325842696,0.2572463768115942,0.2751937984496124,0.26591760299625467
RANDOM_P03_D2,0.7774361878564783,0.5392233881375905,0.636780809436244,0.848780487804878,0.7280334728033473,0.7837837837837837,0.4146341463414634,0.35564853556485354,0.3828828828828829,0.6536585365853659,0.5606694560669456,0.6036036036036037,0.33170731707317075,0.28451882845188287,0.3063063063063063
RANDOM_P04_D0,0.7127835361273847,0.5990783410138248,0.6510032584462356,0.8126721763085399,0.8727810650887574,0.8416547788873039,0.3443526170798898,0.3698224852071006,0.35663338088445073,0.15977961432506887,0.17159763313609466,0.16547788873038516,0.07988980716253444,0.08579881656804733,0.08273894436519258
RANDOM_P04_D1,0.7062519391870927,0.5746654885130018,0.6336998886414255,0.7570332480818415,0.8629737609329446,0.8065395095367849,0.3145780051150895,0.358600583090379,0.335149863760218,0.4833759590792839,0.5510204081632653,0.5149863760217983,0.22762148337595908,0.2594752186588921,0.2425068119891008
RANDOM_P04_D2,0.760271300381141,0.5330569817355442,0.6267054239594285,0.8181818181818182,0.7523219814241486,0.7838709677419355,0.3838383838383838,0.35294117647058826,0.36774193548387096,0.5892255892255892,0.541795665634675,0.5645161290322581,0.2996632996632997,0.2755417956656347,0.2870967741935484
RANDOM_P05_D0,0.7396796122750959,0.580800511896543,0.6506819596672262,0.8008658008658008,0.8788598574821853,0.8380520951302377,0.2987012987012987,0.32779097387173395,0.31257078142695355,0.13852813852813853,0.15201900237529692,0.14496036240090598,0.0670995670995671,0.07363420427553444,0.07021517553793885
RANDOM_P05_D1,0.7221703803172724,0.534247036637931,0.6141547871362346,0.7931034482758621,0.863849765258216,0.8269662921348314,0.28879310344827586,0.3145539906103286,0.30112359550561796,0.5107758620689655,0.5563380281690141,0.5325842696629214,0.1875,0.20422535211267606,0.1955056179775281
RANDOM_P05_D2,0.7682007313075274,0.5129487438539773,0.6151469563724846,0.7874015748031497,0.7389162561576355,0.7623888182973316,0.3333333333333333,0.312807881773399,0.32274459974587044,0.5590551181102362,0.5246305418719212,0.5412960609911054,0.2572178477690289,0.2413793103448276,0.24904701397712833
RANDOM_P06_D0,0.6875883224761314,0.5596891395224869,0.617081168027716,0.7982142857142858,0.8781925343811395,0.8362956033676333,0.24821428571428572,0.2730844793713163,0.2600561272217025,0.14642857142857144,0.16110019646365423,0.15341440598690367,0.060714285714285714,0.06679764243614932,0.06361085126286249
RANDOM_P06_D1,0.6685318509067711,0.5144319775596073,0.5814449332223675,0.7421602787456446,0.841897233201581,0.788888888888889,0.23867595818815332,0.2707509881422925,0.2537037037037037,0.4547038327526132,0.5158102766798419,0.48333333333333334,0.156794425087108,0.17786561264822134,0.16666666666666666
RANDOM_P06_D2,0.7413479052823315,0.5082004012514556,0.6030231899981687,0.7724288840262582,0.7189409368635438,0.7447257383966244,0.3041575492341357,0.2830957230142566,0.29324894514767935,0.5557986870897156,0.5173116089613035,0.5358649789029536,0.2275711159737418,0.21181262729124237,0.21940928270042193
RANDOM_P07_D0,0.5781373967424278,0.5960090452019534,0.5869372090544046,0.7814871016691958,0.8597662771285476,0.8187599364069954,0.2109256449165402,0.23205342237061768,0.2209856915739269,0.15326251896813353,0.1686143572621035,0.16057233704292528,0.04400606980273141,0.048414023372287146,0.04610492845786963
