piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.8697713968015175,0.6767261669995801,0.7612001173498959,0.9311639549436797,0.9445619974608549,0.9378151260504203,0.49353358364622446,0.5006347862886161,0.4970588235294117,0.7213183145598665,0.7316969953449005,0.7264705882352942,0.3858990404672507,0.3914515446466356,0.38865546218487396
ChenGuang03M,0.8970179090328297,0.8670604288887339,0.881784800830611,0.9728813559322034,0.9672181372549019,0.9700414810262712,0.8425269645608628,0.8376225490196079,0.8400675987094791,0.8875192604006163,0.8823529411764706,0.8849285604547549,0.7731895223420647,0.7686887254901961,0.7709325549239514
ChenGuang06M,0.9134418729817008,0.839167840984944,0.8747310234637735,0.9740675990675991,0.9752042007001167,0.9746355685131196,0.8135198135198135,0.8144690781796966,0.8139941690962099,0.9023892773892774,0.9034422403733956,0.9029154518950436,0.7581585081585082,0.7590431738623103,0.758600583090379
Chon08M,0.8538311358896444,0.7320905260475477,0.7882882243574277,0.9044790496066785,0.9,0.9022339658899833,0.6556429603467652,0.6523961661341853,0.6540155336696293,0.8155402151228126,0.8115015974440895,0.8135158939867084,0.5927115106758709,0.5897763578274761,0.5912402914564816
Huang10M,0.9247277733739413,0.6376304615490834,0.7548007668967583,0.9427157001414427,0.9339093881363849,0.9382918817456594,0.4679396511079679,0.4635684259691733,0.4657437822618489,0.8856671381423856,0.8773937412424101,0.8815110276865322,0.44554455445544555,0.4413825315273237,0.4434537775692164
Huang18M,0.9335715483979198,0.6464173622549373,0.7639001181878955,0.9182439024390244,0.9209393346379647,0.9195896433805569,0.6417560975609756,0.6436399217221135,0.6426966292134831,0.7855609756097561,0.787866927592955,0.7867122618466048,0.5445853658536586,0.546183953033268,0.5453834880312654
KOLESO06M_18-1,0.8762097706528083,0.9006133858445938,0.8882439936378604,0.9677321156773212,0.957818620066285,0.9627498485766202,0.8931506849315068,0.8840012051822839,0.8885523924894004,0.8669710806697108,0.8580897860801446,0.8625075711689886,0.8006088280060882,0.7924073516119313,0.7964869775893397
KOLESO06M_18-4,0.907740641523724,0.8864069026912278,0.8969469351552863,0.9813465461964442,0.9753765932792584,0.9783524625889873,0.8872048965316235,0.8818076477404403,0.8844980386459392,0.911979014864471,0.9064310544611819,0.9091965712625308,0.8300786942582338,0.8250289687137891,0.8275461281417986
KabuliL10M,0.8927484787018256,0.7448364722624649,0.8121125283941988,0.936213161081954,0.9614427860696517,0.9486602577214155,0.5672184093661687,0.5825041459369817,0.5747596645530783,0.8231731933790876,0.8453565505804311,0.8341174064225811,0.5030278562777554,0.5165837479270315,0.509715688279812
KaszoS16M,0.7976626412154265,0.6890718596459741,0.7394015262765111,0.9533050333535477,0.9296274393849793,0.9413173652694612,0.537901758641601,0.524541691306919,0.5311377245508982,0.8811400848999393,0.8592548787699587,0.870059880239521,0.49302607640994545,0.4807806031933767,0.4868263473053892
LeungM06M,0.8963858463178267,0.8517684373250887,0.873507766107926,0.9580562659846548,0.9009139009139009,0.9286068418443233,0.7629156010230179,0.7174122174122174,0.7394645513138325,0.8690537084398977,0.8172198172198172,0.8423401090728805,0.6966751918158568,0.6551226551226551,0.6752602875557759
LeungR02M,0.8924269901819774,0.8901780256247115,0.8913010892375337,0.9741935483870968,0.9726993865030675,0.9734458940905601,0.893394777265745,0.8920245398773006,0.8927091327705294,0.8964669738863287,0.8950920245398774,0.8957789716039909,0.8248847926267281,0.8236196319018405,0.8242517267843438
Levitsky05M,0.8875794696852225,0.8894360641629414,0.8885067970555048,0.9762722447705277,0.9663164400494437,0.9712688305637521,0.8988448329690915,0.8896786155747837,0.894238235750893,0.9047767717764595,0.8955500618046972,0.900139773256717,0.8323446768654387,0.8238566131025958,0.8280788942382359
