piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
BuiJL06M,0.9116771861904223,0.5632578022621153,0.6963144711956244,0.9646848457755923,0.913245873889124,0.9382608695652174,0.4336164506034868,0.4104951333051206,0.4217391304347826,0.8363880196691998,0.7917900973338976,0.8134782608695652,0.372820742065266,0.35294117647058826,0.36260869565217396
ChenGuang03M,0.8832989646888751,0.8276875267681949,0.8545894887313152,0.9854791868344628,0.9356617647058824,0.95992456388496,0.8096160051629558,0.7686887254901961,0.7886217193147886,0.9131978057437883,0.8670343137254902,0.8895175231808895,0.755082284607938,0.7169117647058824,0.7355021216407356
ChenGuang06M,0.8688760806916427,0.8050137209819773,0.8357266602502407,0.9764705882352941,0.9442823803967327,0.9601067773987838,0.7809954751131222,0.7552508751458576,0.7679074595877207,0.9179487179487179,0.8876896149358227,0.9025656236096693,0.7369532428355958,0.7126604434072346,0.7246032923031293
Chon08M,0.8872929598696022,0.636195480727407,0.7410515972527867,0.9369814651368049,0.8479233226837061,0.8902306079664569,0.6390114739629302,0.5782747603833865,0.6071278825995807,0.855251544571933,0.7739616613418531,0.8125786163522012,0.5855251544571933,0.5298722044728434,0.5563102725366876
Huang10M,0.9027027519425745,0.5701529291278782,0.6988853351576082,0.9664818548387096,0.8956095282578235,0.9296969696969697,0.4049899193548387,0.37529191966370856,0.3895757575757576,0.9059979838709677,0.8395609528257824,0.8715151515151515,0.3893649193548387,0.3608127043437646,0.3745454545454545
Huang18M,0.9431640404496556,0.5434207377843239,0.6895468139014213,0.9495315161839863,0.8726027397260274,0.9094431980420151,0.5658006814310051,0.5199608610567514,0.541913114419743,0.837947189097104,0.7700587084148728,0.8025698551906997,0.4948892674616695,0.4547945205479452,0.47399551295125436
KOLESO06M_18-1,0.850866278523805,0.8203413231932278,0.8353250285213822,0.9784565916398714,0.9168424224163905,0.9466480012443614,0.8594855305466238,0.8053630611630009,0.8315445636957537,0.9038585209003216,0.8469418499548057,0.8744750349976668,0.7961414790996785,0.7460078336848448,0.7702597604604137
KOLESO06M_18-4,0.8362867667578278,0.8208587276587003,0.8285009296185454,0.9858177429088715,0.9464078794901506,0.9657109074785694,0.8630054315027158,0.828505214368482,0.8454034880283771,0.9188292094146047,0.8820973348783314,0.9000886786875554,0.8114061557030778,0.7789687137891078,0.7948566361217855
KabuliL10M,0.9278949063287303,0.6280144617238682,0.7490557382062849,0.979395002192021,0.9262023217247097,0.9520562539953121,0.5081104778605875,0.480514096185738,0.4939271255060728,0.8790004384042087,0.8312603648424544,0.8544640954613253,0.4585708022797019,0.433665008291874,0.44577029618580866
KaszoS16M,0.7904191616766467,0.6070939806609382,0.6867323114404629,0.6400268636668905,0.563571850975754,0.5993710691823899,0.3861652115513768,0.34003548196333533,0.3616352201257862,0.5862995298858295,0.5162625665286813,0.5490566037735849,0.35661517797179315,0.3140153755174453,0.3339622641509434
LeungM06M,0.9041137143889658,0.8001812415043045,0.848978437610463,0.9725500960746637,0.8520923520923521,0.9083450839635944,0.7587153444962943,0.6647426647426647,0.7086270990898602,0.8943178698874554,0.7835497835497836,0.8352775285219844,0.7038155366456217,0.6166426166426167,0.657351621586976
LeungR02M,0.8511130201884933,0.8404630911835522,0.8457545304467362,0.9791666666666666,0.9371165644171779,0.9576802507836991,0.8435897435897436,0.807361963190184,0.8250783699059562,0.9092948717948718,0.8702453987730061,0.8893416927899687,0.7862179487179487,0.7524539877300613,0.7689655172413792
